element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
node,3678209524,,27.1102368,57.0883144,406.1,unknown,Unknown / unclassified,,False,False,False,True
node,3678209533,,27.1116916,57.0867106,379.2,unknown,Unknown / unclassified,,False,False,False,True
node,3858435060,,27.1060931,57.0868128,388.6,unknown,Unknown / unclassified,,False,False,False,True
node,3858435061,,27.1077163,57.0861874,214.1,unknown,Unknown / unclassified,,False,False,True,True
node,5667438512,,27.1078125,57.0862797,215.1,unknown,Unknown / unclassified,,False,False,True,True
node,5667438516,,27.1072861,57.0857749,220.9,unknown,Unknown / unclassified,,False,False,True,True
node,5667441638,,27.1071769,57.0862179,257.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667441643,,27.1070606,57.0864549,283.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667441660,,27.1073389,57.0860305,231.9,unknown,Unknown / unclassified,,False,False,True,True
node,5667441670,,27.1076312,57.0862825,227.4,unknown,Unknown / unclassified,,False,False,True,True
node,5667441720,,27.1074334,57.0863321,245.4,unknown,Unknown / unclassified,,False,False,True,True
node,5667451015,,27.1067697,57.082634,300.9,unknown,Unknown / unclassified,,False,False,False,True
node,5667451017,,27.1077713,57.0814958,322.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667451019,,27.1055854,57.0819862,445.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451621,,27.1053117,57.0823759,451.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451624,,27.1068548,57.0815367,371.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451625,,27.1073818,57.0821375,288.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667451626,,27.1080179,57.0803601,420.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667451627,,27.1065667,57.0828691,306.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451628,,27.107024,57.0824897,288.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451629,,27.106914,57.0809966,411.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451631,,27.106672,57.080296,484.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451633,,27.1080516,57.080795,378.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451634,,27.1062868,57.0832782,315.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451635,,27.1057021,57.0840371,359.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451639,,27.1058878,57.0822967,400.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451640,,27.1070461,57.0800053,490.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451650,,27.1061991,57.0825592,357.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451654,,27.1059835,57.0836903,335.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451656,,27.1057844,57.0822096,414.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451657,,27.1066847,57.0820975,342.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451658,,27.1061353,57.0819767,396.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667451662,,27.106498,57.0829677,307.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667451663,,27.1063778,57.0822085,361.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451664,,27.1074706,57.0812727,356.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451666,,27.1070192,57.0818547,335.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451667,,27.1061245,57.0844607,309.9,unknown,Unknown / unclassified,,False,False,False,True
node,5667451669,,27.107341,57.0829082,234.6,unknown,Unknown / unclassified,,False,False,True,True
node,5667451671,,27.1056408,57.0814739,470.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451676,,27.1067248,57.083717,254.9,unknown,Unknown / unclassified,,False,False,False,True
node,5667451679,,27.1055198,57.0826044,420.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667461122,,27.1104897,57.0806813,416.0,unknown,Unknown / unclassified,,False,False,False,True
node,5667461129,,27.1103622,57.0803601,439.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667461130,,27.1090413,57.0801651,428.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667461131,,27.1093865,57.0795778,489.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667461134,,27.1079801,57.0821421,254.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667461139,,27.1084629,57.0795917,487.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667461143,,27.1087002,57.0811578,330.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667461145,,27.1085828,57.0802883,417.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667461146,,27.1094857,57.0812959,322.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667461149,,27.1087718,57.0804676,398.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667461151,,27.1094793,57.0794796,500.1,unknown,Unknown / unclassified,,False,False,False,False
node,5667461153,,27.109885,57.0799631,461.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667461154,,27.1088477,57.0816545,280.9,unknown,Unknown / unclassified,,False,False,False,True
node,5667461155,,27.1083006,57.0797163,477.5,unknown,Unknown / unclassified,,False,False,False,True
node,6154875298,,27.1075268,57.0806401,411.1,unknown,Unknown / unclassified,,False,False,False,True
node,6154875299,,27.1074035,57.0803904,439.2,unknown,Unknown / unclassified,,False,False,False,True
node,6154875300,,27.1072746,57.0800096,479.5,unknown,Unknown / unclassified,,False,False,False,True
node,6154875301,,27.1069288,57.0800697,490.0,unknown,Unknown / unclassified,,False,False,False,True
node,6154875302,,27.1072849,57.0807781,409.6,unknown,Unknown / unclassified,,False,False,False,True
node,6154875303,,27.1072459,57.0816833,334.0,unknown,Unknown / unclassified,,False,False,False,True
node,6154875304,,27.107127,57.0814029,364.4,unknown,Unknown / unclassified,,False,False,False,True
node,6154875340,,27.106713,57.0802526,485.6,unknown,Unknown / unclassified,,False,False,False,True
node,6154875343,,27.1064247,57.080839,455.1,unknown,Unknown / unclassified,,False,False,False,True
node,6154875344,,27.1067719,57.0806473,448.7,unknown,Unknown / unclassified,,False,False,False,True
node,6154875345,,27.1062813,57.0809725,454.8,unknown,Unknown / unclassified,,False,False,False,True
node,6154875346,,27.1060043,57.0810369,470.5,unknown,Unknown / unclassified,,False,False,False,True
