element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
node,3678209486,,27.1062164,57.0843533,300.0,unknown,Unknown / unclassified,,False,False,False,True
node,3678209495,,27.1074937,57.0826661,239.8,unknown,Unknown / unclassified,,False,False,True,True
node,3678209517,,27.1090951,57.0831108,138.2,unknown,Unknown / unclassified,,False,False,True,True
node,3678209522,,27.1100868,57.082217,260.3,unknown,Unknown / unclassified,,False,False,False,True
node,3678209524,,27.1102368,57.0883144,406.1,unknown,Unknown / unclassified,,False,False,False,True
node,3678209526,,27.1106317,57.0815069,351.9,unknown,Unknown / unclassified,,False,False,False,True
node,3678209530,,27.1108932,57.0806989,435.3,unknown,Unknown / unclassified,,False,False,False,True
node,3678209532,,27.111449,57.0811152,437.4,unknown,Unknown / unclassified,,False,False,False,True
node,3678209533,,27.1116916,57.0867106,379.2,unknown,Unknown / unclassified,,False,False,False,True
node,3858435060,,27.1060931,57.0868128,388.6,unknown,Unknown / unclassified,,False,False,False,True
node,3858435061,,27.1077163,57.0861874,214.1,unknown,Unknown / unclassified,,False,False,True,True
node,5667438512,,27.1078125,57.0862797,215.1,unknown,Unknown / unclassified,,False,False,True,True
node,5667438516,,27.1072861,57.0857749,220.9,unknown,Unknown / unclassified,,False,False,True,True
node,5667441638,,27.1071769,57.0862179,257.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667441643,,27.1070585,57.0864409,282.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667441660,,27.1073389,57.0860305,231.9,unknown,Unknown / unclassified,,False,False,True,True
node,5667441670,,27.1076312,57.0862825,227.4,unknown,Unknown / unclassified,,False,False,True,True
node,5667441720,,27.1074334,57.0863321,245.4,unknown,Unknown / unclassified,,False,False,True,True
node,5667451015,,27.1067697,57.0825777,304.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451017,,27.1077188,57.0814851,325.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667451019,,27.1055854,57.0819862,445.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451621,,27.1052138,57.0823035,464.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451624,,27.1067999,57.0815474,374.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451625,,27.1073818,57.0821375,288.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667451626,,27.1080179,57.0803601,420.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667451627,,27.1065667,57.0828691,306.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451628,,27.1070407,57.0825487,283.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451629,,27.1068758,57.0810368,410.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451631,,27.1065407,57.0802826,493.0,unknown,Unknown / unclassified,,False,False,False,True
node,5667451633,,27.1080516,57.080795,378.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451634,,27.1062247,57.0833158,320.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451635,,27.1056711,57.084021,363.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451639,,27.1058878,57.0822967,400.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451640,,27.1070461,57.0800053,490.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451650,,27.1061991,57.0825592,357.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451651,,27.1080833,57.0797763,475.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451654,,27.1058928,57.0837386,343.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667451656,,27.1057844,57.0822096,414.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451657,,27.1066847,57.0820975,342.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451658,,27.1060828,57.0819445,403.1,unknown,Unknown / unclassified,,False,False,False,True
node,5667451662,,27.106498,57.0829677,307.8,unknown,Unknown / unclassified,,False,False,False,True
node,5667451663,,27.1063706,57.0822139,361.4,unknown,Unknown / unclassified,,False,False,False,True
node,5667451664,,27.1073938,57.081285,359.4,unknown,Unknown / unclassified,,False,False,False,True
node,5667451666,,27.1069738,57.0818842,336.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667451667,,27.1061126,57.0844446,311.3,unknown,Unknown / unclassified,,False,False,False,True
node,5667451669,,27.1072596,57.0829326,239.9,unknown,Unknown / unclassified,,False,False,True,True
node,5667451671,,27.1056408,57.0814739,470.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667451674,,27.1071917,57.0808312,409.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451676,,27.106689,57.0836848,259.7,unknown,Unknown / unclassified,,False,False,False,True
node,5667451679,,27.1055437,57.0826339,417.2,unknown,Unknown / unclassified,,False,False,False,True
node,5667461122,,27.1104897,57.0806813,416.0,unknown,Unknown / unclassified,,False,False,False,True
node,5667461129,,27.1103622,57.0803601,439.6,unknown,Unknown / unclassified,,False,False,False,True
node,5667461130,,27.1090413,57.0801651,428.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667461131,,27.109374,57.0796444,482.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667461134,,27.1079801,57.0821421,254.5,unknown,Unknown / unclassified,,False,False,False,True
node,5667461139,,27.1084754,57.0796548,481.2,unknown,Unknown / unclassified,,False,False,False,True
