element_type,osm_id,name,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,tags_str,latest,first_version,last_pre_strike,first_post_strike,stages_present_count,stages_present,first_seen_stage,last_seen_stage
way,1485178448,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1485178459,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1485178460,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1485178461,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1485768799,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1485797314,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1486287561,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,False,1,Latest,Latest,Latest
way,1485178456,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485178457,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485178458,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485178463,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485178467,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485767424,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485767428,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1485767429,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1486287557,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1486287558,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1486287559,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
way,1486287560,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,False,1,Latest,Latest,Latest
